Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2013-Q2,,49531300,,1023639,4957087,352,2188946,18787644,3880329,,,5930,21300,2219,156717,176,241796,0,0,0,4958,0,8240,551,3442,14,5841610,3343919,690519,35812,2113,219638,12262,
2013-Q1,,49531300,,1023639,4957087,352,2188946,18787644,3880329,,,5930,23321,2087,184175,149,241796,0,0,0,739,18,6538,120,1275,0,5841610,3343919,690519,35812,2113,219638,12262,
2012,231811553,264196310,0.2166,3872560,17878855,2184,11495097,88421943,18751321,,,25777,200114,12615,5386910,485,2921496,0,0,0,390548,547,79309,430,3709,30,4742517,11800379,2555962,19563,24053,2921496,83018,
2012-Q4,,66049078,,968140,4469714,546,2873774,22105486,4687830,,,6444,95747,4548,61367,13,730374,0,0,0,354941,251,30231,125,1447,30,1185629,2950095,638991,4891,6013,730374,20755,
2012-Q3,,66049078,,968140,4469714,546,2873774,22105486,4687830,,,6444,40439,3393,49887,53,730374,0,0,0,14801,71,7396,25,1074,0,1185629,2950095,638991,4891,6013,730374,20755,
2012-Q2,,66049078,,968140,4469714,546,2873774,22105486,4687830,,,6444,36498,2747,243679,220,730374,0,0,0,16846,160,32536,141,594,0,1185629,2950095,638991,4891,6013,730374,20755,
2012-Q1,,66049078,,968140,4469714,546,2873774,22105486,4687830,,,6444,27430,1927,5031977,199,730374,0,0,0,3960,65,9146,139,594,0,1185629,2950095,638991,4891,6013,730374,20755,
2011,,257831687,,2747106,,,,,,,,,,,9062562,,,,0,,40388,,,,,,,3505302,,45436,0,1843739,1650606,
2011-Q4,,64457922,,686777,,,,,,,,,,,2265641,,,,,,,,,,,,,,,,,,,
2011-Q3,,64457922,,686777,,,,,,,,,,,2265641,,,,,,,,,,,,,,,,,,,
2011-Q2,,64457922,,686777,,,,,,,,,,,2265641,,,,,,,,,,,,,,,,,,,
2011-Q1,,64457922,,686777,,,,,,,,,,,2265641,,,,,,,,,,,,,,,,,,,
