Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2011-Q3,,27496702,,1200471,,637,997134,5265965,,6534,62432,4833,87913,42,0,0,23354,74,103713,586,3876,2331,203111,2372,1079757,377458,,289,,62432,185624
2011-Q2,,27496702,,825553,,565,846337,5472827,,6481,56561,2951,298030,224,0,0,0,0,9435,104,12806,1700,208694,2644,1041726,790252,,277,,56049,182949
2011-Q1,,27496702,,1063766,,441,1576781,5472749,,6000,60056,2558,12291,12,0,0,0,0,11426,254,2958,1548,221849,2488,737762,446193,,429,,60056,204631
2010,,112054447,,3855285,,4389,2367423,22029426,,24970,224751,17389,1007339,375,0,0,0,0,64424,1615,68189,7548,904799,0,,2877212,,1473,,220145,824363
2010-Q4,,28013612,,1300477,,1228,-951597,5257383,,6259,49329,2330,408171,154,0,0,0,0,32998,273,36983,1686,309830,0,,,,432,,53905,320540
2010-Q3,,28013612,,790003,,938,1934192,5536442,,6297,51700,5231,8755,3,0,0,0,0,9523,922,10990,2530,208361,0,,,,414,,47368,164822
2010-Q2,,28013612,,1145725,,1210,692067,5605645,,6618,73225,5599,578699,213,0,0,0,0,7489,115,12935,1879,196480,0,,,,270,,72696,172302
2010-Q1,,28013612,,619080,,1013,692761,5629956,,5796,50497,4229,11714,5,0,0,0,0,14414,305,7281,1453,190128,0,,,,357,,46176,166699
2009,,114110915,,4019971,,4943,4379577,22546203,,26611,206789,16786,1170528,478,0,0,0,0,62744,1118,77515,7137,815186,11435,7653203,3216714,,2143,,203021,562744
2009-Q4,,28527729,,-125069,,1230,-609005,3883159,,6331,55875,5379,327213,152,0,0,0,0,9649,129,31849,1732,327692,11435,,,,270,,59666,160190
2009-Q3,,28527729,,1029042,,1229,1722941,6370717,,6903,59768,5122,114800,34,0,0,0,0,24882,47,9947,1867,165658,0,,,,521,,52557,142904
2009-Q2,28863670,28527729,0.2636,1506890,5720122,1039,476229,6149926,,6696,54931,3787,705970,183,0,0,0,0,12751,152,30220,1587,167276,0,,,,472,,54674,134076
2009-Q1,,28527729,,1609109,,1445,2789412,6142401,,6681,36215,2498,22545,109,0,0,0,0,15462,790,5499,1951,154560,0,,,,880,,36124,125574
2008,,116041520,,4898019,,4408,9969578,24158951,,25793,182743,20317,449352,331,576898,0,0,0,101335,6648,6758,8220,511907,13962,,,,1346,,763432,518665
2008-Q4,,29010380,,1848135,,1786,569949,5523865,,6387,40150,3005,342060,274,576898,0,0,0,33163,5716,953,2337,156332,13962,,,,582,,620839,157285
2008-Q3,,29010380,,1673545,,1837,2504505,5724291,,6578,56461,3017,46477,18,0,0,0,0,8353,439,896,1733,141896,0,,,,308,,56461,142792
2008-Q2,,29010380,,684753,,578,2303606,6317142,,6357,55773,7828,51302,28,0,0,0,0,26214,6,2284,2497,122262,0,,,,365,,55773,124546
2008-Q1,,29010380,,691586,,207,4591518,6593653,,6471,30359,6467,9513,11,0,0,0,0,33605,487,2625,1653,91417,0,,,,91,,30359,94042
